FF Question: Team with best kicker over last five years?,,,,,,,,,,,,,,,,
Separate question: team with best kicker,,,,,,,,,,,,,,,,
,,,,,,FG/EXPT,FG,,,,,FG/EXPT,EXPT,,,
IND,0,1,1,15,,,,,,,,,,,,
JAX,1,0,1,19,,,,,,,,,,,,
NO,1,0,1,12,,,,,,,,,,,,
OAK,0,1,1,18,,,,,,,,,,,,
PIT,1,0,1,4,,,,,,,,,,,,
SF,0,1,1,2,,,,,,,,,,,,
WAS,0,1,1,17,,,,,,,,,,,,
BUF,0,0,0,8,,,,,,,,,,,,
CLE,0,0,0,26,,,,,,,,,,,,
DAL,0,0,0,29,,,,,,,,,,,,
DET,0,0,0,11,,,,,,,,,,,,
HOU,0,0,0,24,,,,,,,,,,,,
KC,0,0,0,5,,,,,,,,,,,,
LA,0,0,0,10,,,,,,,,,,,,
MIA,0,0,0,20,,,,,,,,,,,,
NE,0,0,0,7,,,,,,,,,,,,
NYJ,0,0,0,13,,,,,,,,,,,,
PHI,0,0,0,23,,,,,,,,,,,,
SEA,0,0,0,28,,,,,,,,,,,,
TB,0,0,0,31,,,,,,,,,,,,
Grand Total,13,20,33,,,,,,,,,,,,,
